latitude,longitude,administra,type,date_added,datasets,geometry
19.6853689,-72.2047959,"3e Section Genipailler, Milot, Nord, Haiti",Borehole or tubewell,2020-07-28T02:34:00Z,Inventaire 2017 - Point d'eau,"c(793059.994510606, 2179074.20678857)"
19.7138254,-72.2075515,"3e Section Genipailler, Milot, Nord, Haiti",Borehole or tubewell,2016-10-25T10:57:00Z,FRAPE (Haiti Outreach),"c(792719.08645198, 2182221.25639424)"
19.69498597,-72.2180422,"3e Section Genipailler, Milot, Nord, Haiti",Borehole or tubewell,2020-07-28T02:34:00Z,Inventaire 2017 - Point d'eau,"c(791652.909869292, 2180116.57056468)"
19.7203816,-72.2357092,"2e Section Haut du Cap, Cap Haitien, Nord, Haiti",NA,2021-10-13T13:04:00Z,NA,"c(789753.829194568, 2182899.0507491)"
19.7227216,-72.2300908,"2e Section Haut du Cap, Cap Haitien, Nord, Haiti",Borehole or tubewell,2016-11-29T10:06:00Z,FRAPE (Haiti Outreach),"c(790338.876766851, 2183167.83307907)"
19.6786167,-72.2227617,"3e Section Genipailler, Milot, Nord, Haiti",Unprotected dug well,2017-02-10T21:48:00Z,NA,"c(791187.457011158, 2178295.45265598)"
19.6959709,-72.228403,"3e Section Genipailler, Milot, Nord, Haiti",Borehole or tubewell,2020-07-28T02:34:00Z,Inventaire 2017 - Point d'eau,"c(790564.271115556, 2180207.89272769)"
19.72023098,-72.23147839,"2e Section Haut du Cap, Cap Haitien, Nord, Haiti",Borehole or tubewell,2020-07-28T02:34:00Z,Inventaire 2017 - Point d'eau,"c(790197.844498114, 2182889.60374567)"
19.6853847,-72.2053474,"3e Section Genipailler, Milot, Nord, Haiti",Borehole or tubewell,2016-10-27T15:15:00Z,FRAPE (Haiti Outreach),"c(793002.108637441, 2179075.00529918)"
19.6958031,-72.2258858,"3e Section Genipailler, Milot, Nord, Haiti",Borehole or tubewell,2016-10-27T15:15:00Z,FRAPE (Haiti Outreach),"c(790828.629270877, 2180193.61799598)"
19.7132398,-72.2078584,"3e Section Genipailler, Milot, Nord, Haiti",Protected dug well,2016-10-24T14:18:00Z,FRAPE (Haiti Outreach),"c(792687.962815356, 2182155.86648127)"
19.68731477,-72.20323205,"3e Section Genipailler, Milot, Nord, Haiti",Borehole or tubewell,2018-08-22T17:04:00Z,NA,"c(793220.50912586, 2179292.42803861)"
19.72066842,-72.22709902,"3e Section Genipailler, Milot, Nord, Haiti",Borehole or tubewell,2020-07-28T02:34:00Z,Inventaire 2017 - Point d'eau,"c(790656.379013993, 2182945.5543696)"
