neighborho,name,sup_km2,cte,economy,sup_bati_km2,density,aptitude,zoning,latrine,density_ra,economy_nu,geometry
10,Blue Hills,2.467017935823892,ctecaphaitien,low,0.518,most dense,bad,NA,not allowed,5,2,"list(c(791835.27034063, 791822.497537402, 791816.395396081, 791860.96181605, 791905.099612201, 791937.554394689, 792010.907771118, 792029.722403637, 792101.293037107, 792097.27989793, 792114.591242623, 792155.253956929, 792206.376378816, 792244.334332715, 792307.660204472, 792341.161334073, 792353.339161047, 792357.310231514, 792385.502450058, 792397.168195663, 792405.917504866, 792432.165432476, 792483.689142229, 792520.630669977, 792569.237943329, 792640.204562422, 792710.199036049, 792686.86754484, 
792696.588999511, 792761.722745802, 792787.970673412, 792816.162891956, 792836.577946764, 792842.410819566, 792848.243692369, 792866.714456242, 792901.711693056, 792933.792493468, 792963.929002946, 793012.536276298, 793042.672785776, 793116.555841271, 793185.578169431, 793230.296860915, 793243.906897453, 793269.182679596, 793311.957080146, 793325.567116684, 793394.589444844, 793416.948790586, 793415.976645119, 792443.709659897, 791956.152989443, 791553.495142456, 791292.910631009, 791475.489297063, 
791506.664406932, 791559.481019273, 791579.098918142, 791480.531901882, 791398.529917427, 791331.088153643, 791260.648499723, 791227.527769308, 791197.822294237, 791192.047871479, 791192.047835074, 791237.011619319, 791294.108561582, 791301.188678885, 791284.705768078, 791242.387702109, 791208.584379772, 791225.120779343, 791353.663688123, 791356.168300876, 791349.085044664, 791359.444716346, 791399.174378024, 791455.365082379, 791512.781716384, 791578.781087044, 791722.779468561, 791842.771015123, 
791843.395685429, 791845.584116124, 791869.4591533, 791885.61345584, 791901.095948603, 791926.790487302, 791931.953780579, 791935.624617475, 791915.658028285, 791915.370204064, 791906.63715994, 791874.803777038, 791867.862665515, 791847.265290037, 791835.27034063, 791835.27034063, 2184153.96481609, 2184130.00900747, 2184107.7929664, 2184122.35108419, 2184163.00398885, 2184206.30801832, 2184188.58840206, 2184225.37257371, 2184206.66329217, 2184152.85395824, 2184106.55361402, 2184076.50031424, 2184068.12308167, 
2184015.00363448, 2184016.04491511, 2184045.76650985, 2184056.72437814, 2184060.4440076, 2184094.46909895, 2184176.12931818, 2184208.21011859, 2184231.5416098, 2184218.90371873, 2184160.57499071, 2184051.6946984, 2183994.33811584, 2184003.08742505, 2184078.91477147, 2184130.43848123, 2184153.76997244, 2184196.54437299, 2184212.09870046, 2184224.73659153, 2184271.88564668, 2184339.93582937, 2184423.54033954, 2184478.95263116, 2184540.19779558, 2184582.97219613, 2184622.83016028, 2184634.49590589, 
2184502.28412237, 2184387.57095726, 2184267.02491935, 2184224.2505188, 2184208.69619132, 2184198.97473665, 2184158.14462704, 2183969.54840643, 2183877.19458706, 2183848.03022305, 2182643.96730304, 2182845.86176032, 2183017.03353256, 2183138.64001265, 2183415.69162007, 2183399.30757791, 2183381.73849187, 2183598.61718791, 2183673.78790102, 2183586.43911742, 2183555.45442251, 2183485.38388815, 2183503.89482852, 2183579.37102522, 2183585.0142111, 2183666.02708191, 2183740.7565116, 2183797.85343673, 
2183861.15766524, 2183883.13487891, 2183873.70278849, 2183904.15249691, 2183973.60582213, 2184061.81385888, 2184097.17403796, 2184152.34099922, 2184180.16343791, 2184206.91637127, 2184266.20076131, 2184314.03894874, 2184324.0400728, 2184323.03521556, 2184367.0382761, 2184364.82053974, 2184368.0256469, 2184382.10265498, 2184405.88645553, 2184405.42715028, 2184389.78482848, 2184360.96146491, 2184328.15433365, 2184295.66932282, 2184269.99316341, 2184247.17392157, 2184228.40457747, 2184198.89775212, 
2184161.12391518, 2184153.96481609, 2184153.96481609))"
21,Carénage,0.960959550203662,ctecaphaitien,medium,0.051,somewhat dense,good,group,not allowed,2,1,"list(c(793626.437285731, 793531.897653553, 793512.813587433, 793494.106546121, 793474.619556501, 793456.139298441, 793438.709370001, 793415.947453693, 793421.480545859, 793421.602946338, 793410.979959905, 793422.558486374, 793405.861781206, 793446.301233458, 793472.927850622, 793493.707459982, 793512.846573865, 793520.502219417, 793504.644096487, 793490.973300856, 793458.163391344, 793441.211604763, 793471.287355149, 793475.115177926, 793470.740523324, 793513.940237515, 793550.326521003, 793562.203558891, 
793550.031137978, 793518.588308029, 793536.633758261, 793544.562819726, 793564.248765434, 793600.339665897, 793616.744620653, 793662.67849397, 793686.739094279, 793700.956721735, 793707.518703637, 793700.956721735, 793710.799694588, 793732.672967596, 793762.201886158, 793803.761104873, 793819.072395978, 793843.132996287, 793865.006269296, 793865.006269296, 793865.006269296, 793874.849242149, 793881.411224052, 793905.471824361, 793952.499361328, 793986.402934491, 794036.71146241, 794029.055816857, 
794021.94700313, 794029.055816857, 794033.430471459, 794033.977303284, 794023.04066678, 794019.759675829, 794038.351957886, 794068.974540097, 794104.518608735, 794130.766536345, 794148.811986577, 794195.839523544, 794230.289928532, 794253.798623024, 794260.365678918, 794263.64666987, 794265.484952577, 794265.287165345, 794279.5047928, 794296.456579382, 794313.54148718, 794313.54148718, 794317.501322019, 794332.318050968, 794359.834772882, 794376.768130276, 794374.651439341, 794345.018048938, 794306.917996038, 
794289.984644558, 794285.751291654, 794268.817947328, 794268.81796158, 794251.88460016, 794251.884562034, 794215.901090903, 794196.851112041, 794203.201154786, 794188.384458926, 794122.767640596, 794086.784166314, 794071.967524748, 794052.9174939, 794063.500794691, 794035.984137347, 793995.767378286, 793934.383923127, 793887.817145107, 793884.743522045, 793716.731082554, 793650.606451268, 793609.887723459, 793629.598535958, 793639.221074796, 793646.760281696, 793659.826679689, 793704.412620761, 793722.409198824, 
793764.964081186, 793769.780958853, 793722.279823041, 793672.011665897, 793644.505517742, 793647.443463965, 793644.518509322, 793644.518509322, 793636.311521862, 793635.641835479, 793635.481920451, 793626.437285731, 2188171.49686484, 2188236.70835729, 2188243.77395445, 2188258.22720338, 2188259.48641542, 2188260.23516451, 2188257.83791809, 2188245.86198571, 2188296.08537277, 2188326.40378223, 2188365.11216552, 2188381.77997138, 2188410.50207354, 2188461.83226132, 2188479.89135078, 2188502.76714881, 
2188531.74923554, 2188560.73132228, 2188591.90073631, 2188602.29054099, 2188618.14866392, 2188671.73818279, 2188740.63899277, 2188797.50950259, 2188845.63070321, 2188842.89654408, 2188868.92743093, 2188888.94265209, 2188918.35933596, 2188936.40478619, 2188961.28563424, 2188986.71331411, 2188984.52598681, 2188999.83727792, 2189022.80421457, 2189026.08520553, 2189057.52803547, 2189066.27734468, 2189103.46190879, 2189132.99082735, 2189153.77043671, 2189163.61340956, 2189169.08172782, 2189192.04866448, 
2189251.1065016, 2189237.98253779, 2189246.731847, 2189278.44809286, 2189344.06791188, 2189429.37367661, 2189504.83646849, 2189533.2717234, 2189510.30478674, 2189474.21388628, 2189446.77287105, 2189456.16843605, 2189478.04170906, 2189513.58577769, 2189551.31717363, 2189601.62570155, 2189643.73175209, 2189677.63532526, 2189682.55681168, 2189674.3543343, 2189655.76205225, 2189634.43561106, 2189618.03065631, 2189589.04856957, 2189573.73727847, 2189567.75324714, 2189566.08163291, 2189540.38053713, 2189539.50977164, 
2189538.74004165, 2189474.21388628, 2189382.89297147, 2189293.77206203, 2189293.77206203, 2189252.1933293, 2189199.27655197, 2189140.00979771, 2189089.20971514, 2189034.17622285, 2188996.07613632, 2188977.02614045, 2188949.50945219, 2188919.87595054, 2188866.95925272, 2188822.50914951, 2188780.17568635, 2188739.95902461, 2188720.90899069, 2188682.80883042, 2188638.35874272, 2188606.60868537, 2188585.44205332, 2188536.7585949, 2188435.15834495, 2188407.64161008, 2188333.55816691, 2188198.09126847, 
2188096.49098462, 2187975.8408095, 2187846.72385621, 2187715.37438688, 2187740.86581524, 2187755.1931593, 2187774.31437697, 2187822.33123454, 2187844.10744436, 2187871.12157811, 2187956.22392534, 2187946.41711041, 2188065.34471346, 2188057.61346026, 2188098.29092918, 2188103.30400022, 2188094.56307856, 2188097.79849124, 2188114.54513822, 2188118.90706626, 2188118.90706626, 2188128.35663208, 2188129.12771229, 2188148.22164426, 2188171.49686484))"
37,Anba Saline 1,0.390150696266139,ctecaphaitien,low,0.16,very dense,bad,NA,not allowed,4,2,"list(c(795221.871908948, 795317.122112865, 795363.688909623, 795444.122362049, 795507.622517242, 795579.589362654, 795655.789475965, 795693.889565513, 795746.80631467, 795793.373039921, 795831.47321259, 795937.306666713, 796041.023609201, 796009.273553545, 795941.540071731, 795928.840018632, 795914.023304665, 795905.556624805, 795930.956724551, 795943.656671452, 795933.073346649, 795926.723378363, 795956.35677428, 796036.790199103, 796036.790258353, 795904.688650925, 795885.261682118, 795867.137603166, 
795827.31779544, 795800.330211747, 795764.964116092, 795718.926616476, 795659.659838748, 795624.734721215, 795569.701230592, 795549.412260907, 795531.13822402, 795509.7068708, 795470.019296861, 795439.063045134, 795411.281643678, 795385.352444565, 795384.113330234, 795381.136715976, 795381.467522531, 795380.475356396, 795376.506570379, 795369.891957955, 795352.363269557, 795324.91269494, 795292.170462472, 795284.202049348, 795263.564546656, 795219.643615436, 795211.073941752, 795219.578920104, 795196.427838535, 
795221.871908948, 2185388.12606467, 2185360.60933752, 2185366.95927101, 2185358.49260627, 2185352.14267181, 2185373.30935919, 2185375.42604643, 2185379.65930824, 2185356.37600768, 2185235.72568067, 2185347.9093042, 2185320.3926031, 2185250.54244606, 2185163.75896607, 2185144.70888824, 2185112.95883942, 2185068.50870014, 2185049.45870475, 2185011.35863237, 2184977.49189237, 2184943.62509869, 2184926.69180663, 2184897.05840045, 2184852.608248, 2184820.85823938, 2184569.23781393, 2184578.7892137, 2184589.50492082, 
2184600.88205804, 2184616.09554948, 2184642.4877742, 2184675.29622783, 2184713.92545565, 2184740.38384869, 2184784.30480385, 2184815.66047252, 2184864.09883282, 2184888.17601751, 2184904.31562887, 2184920.45525608, 2184922.3073096, 2184919.92605709, 2184952.40812721, 2184989.44985033, 2185018.55406561, 2185050.96556996, 2185076.76252516, 2185108.51263318, 2185150.8460084, 2185203.59746499, 2185265.11321461, 2185282.47427957, 2185275.59510316, 2185270.30340566, 2185284.27691518, 2185284.27688781, 
2185360.34471856, 2185388.12606467))"
53,Centre-Ville,0.267519623586543,ctemirebalais,NA,NA,NA,bad,NA,NA,NA,NA,"list(c(805091.760265584, 805368.437125472, 805396.548323228, 805397.375220116, 805561.142813133, 805548.951443513, 805535.553598797, 805506.232962449, 805485.35602805, 805487.447518046, 805459.408195411, 805431.646732046, 805359.202132655, 805306.902077495, 805208.014974699, 805145.50528117, 805066.763171034, 805068.152123765, 804975.426317691, 804978.190736528, 804930.284691007, 804802.571010455, 804815.901767435, 804818.988391452, 804830.173986753, 804853.301335277, 804862.272694999, 804875.809378993, 
804895.162135479, 805064.687747479, 805091.760265584, 2085086.11729613, 2084998.74425601, 2084989.86716467, 2084939.26629028, 2084947.88344657, 2084833.80163974, 2084793.51289652, 2084744.52825461, 2084670.37431665, 2084634.55674256, 2084599.30112461, 2084577.75815647, 2084587.1191377, 2084592.59170648, 2084622.61064503, 2084638.4614018, 2084664.5920912, 2084687.14514378, 2084708.83001984, 2084662.47884725, 2084644.82592647, 2084718.6639738, 2084763.16863776, 2084820.15986172, 2084873.0652798, 2084932.49226523, 
2084998.01512744, 2085029.8698567, 2085074.47290209, 2085022.4075366, 2085086.11729613))"
60,Artiboplage,0.578471161474015,ctemirebalais,NA,NA,NA,bad,NA,NA,NA,NA,"list(c(804443.316657182, 804494.73690506, 804539.991809774, 804600.6153329, 804538.438089868, 804521.067088729, 804523.216962654, 804537.701225825, 804507.460506167, 804489.155526152, 804465.967946048, 804472.68606802, 804448.725389726, 804407.315853549, 804404.510700103, 804433.632450114, 804427.893438083, 804390.489901621, 804345.813065478, 804299.400804361, 804211.55268293, 804129.246315044, 804031.017393082, 803932.479795208, 803859.74298847, 803822.436495695, 803793.861675095, 803659.018817689, 
803694.658932492, 803725.666327032, 803755.865349749, 803786.646769214, 803799.738505393, 803833.178438764, 803883.226112482, 803951.649179555, 803989.961291295, 804024.464487366, 804013.638267752, 804005.725489557, 803998.594554329, 803969.239752918, 803970.702968655, 804000.281963558, 804069.34983112, 804199.332848862, 804313.375519748, 804389.189645837, 804443.316657182, 2085966.86953658, 2085891.91851278, 2085810.27663807, 2085723.1781802, 2085657.31530637, 2085614.32654457, 2085574.81941947, 
2085536.22504583, 2085543.64058748, 2085539.46712123, 2085483.73017851, 2085441.13419918, 2085432.83529764, 2085386.29161449, 2085373.59244301, 2085342.43323542, 2085324.9412337, 2085278.9901436, 2085311.64914641, 2085325.65563106, 2085294.70036225, 2085293.36051468, 2085283.3262863, 2085292.26780596, 2085294.40464587, 2085295.50068078, 2085296.34025253, 2085315.23739199, 2085469.76641735, 2085662.18062517, 2085780.7701545, 2085863.51798507, 2085922.78019707, 2085965.50223244, 2085974.75204651, 2085965.32075797, 
2085955.39974848, 2085932.76326716, 2085981.09197152, 2086058.59734453, 2086111.20407915, 2086179.92479859, 2086251.88908799, 2086241.14027579, 2086207.46763381, 2086114.47246678, 2086047.13145895, 2086015.41510253, 2085966.86953658))"
279,Charrier,0.414145635313275,ctecaphaitien,low,0.139,very dense,bad,NA,not allowed,4,2,"list(c(790568.975674275, 790569.925383695, 790569.920361691, 790568.975674275, 2184492.27488023, 2184491.02366505, 2184491.01085899, 2184492.27488023))"
187,Village Notre Dame,0.599186759324364,ctecaphaitien,low,0.019,least dense,bad,NA,not allowed,1,2,"list(c(796602.095639833, 796588.976777002, 796569.133024204, 796620.726814039, 796708.039538182, 796807.258495171, 796837.299013388, 796835.03970823, 796870.758563695, 796933.134188244, 796972.821816843, 796986.051028458, 797184.301476363, 797230.476468884, 797284.274980468, 797316.554087419, 797352.419761809, 797330.900357175, 797330.900357175, 797338.073492053, 797266.342143274, 797218.343783719, 797208.95706425, 797237.649603762, 796602.095639833, 2183497.43767905, 2183566.31178073, 2183697.28081397, 
2183867.93741695, 2183927.4687759, 2183967.15639879, 2184204.81395789, 2184344.18836471, 2184606.12638602, 2184514.00707454, 2184514.00705226, 2184705.8303604, 2184714.20712432, 2184606.50951105, 2184588.57667385, 2184477.39308325, 2184420.00800422, 2184369.79606008, 2184312.41098105, 2184168.9482835, 2184107.97663703, 2184107.97663703, 2183896.36915814, 2183483.91390265, 2183497.43767905))"
198,Quartier Morin,2.950592174981327,ctecaphaitien,medium,0.127,dense,bad,NA,allowed,3,1,"list(c(796921.577581264, 796706.884957389, 796575.479590344, 796582.652725222, 796586.239292661, 796543.200483394, 796575.479590344, 796629.278101929, 796722.528855342, 796776.327366926, 796711.769153025, 797130.65182144, 797513.366975632, 797950.928203185, 797940.168500868, 798075.95309319, 798176.023317201, 798323.667910005, 798540.213312783, 799086.498306155, 799155.399116129, 799130.791683995, 799119.308215666, 798400.771197357, 798245.53931298, 798099.945339521, 798092.768171815, 798005.821911608, 
797862.608980001, 797692.24702665, 797494.985817508, 796953.414134225, 796960.587269103, 796945.800522267, 796935.48129703, 796885.269352884, 796921.577581264, 2180376.63036593, 2180377.63280817, 2180528.13401202, 2180635.73103519, 2180703.87581653, 2180807.88627226, 2180872.44448616, 2181008.73404884, 2181044.59972323, 2181162.95644872, 2181310.00571372, 2181285.18382619, 2181250.82735097, 2181240.06764866, 2180956.72882098, 2180897.6351859, 2180835.29635782, 2180787.72198903, 2180682.7302786, 2180439.93694821, 
2180395.64357037, 2179791.94123535, 2179618.04871494, 2179821.47015391, 2179858.99648791, 2179911.2872812, 2179669.72432242, 2179693.10138294, 2179689.32555224, 2179753.88376614, 2179804.09571028, 2179596.07479882, 2179764.64346846, 2179867.94860488, 2179958.31811016, 2180137.64648211, 2180376.63036593))"
238,Bel Air,0.693032152455266,ctecaphaitien,medium,0.197,very dense,bad,group,not allowed,4,1,"list(c(792134.827396003, 792092.282672719, 792063.667333415, 792043.465419571, 792013.24233997, 791978.520907907, 791957.594616328, 791908.283629041, 791848.591381273, 791879.735162717, 791913.474259282, 791983.547767532, 792060.109563583, 792124.992441593, 792178.19640156, 792132.778386954, 792121.099468912, 792134.827396003, 2187300.12846478, 2187313.99160168, 2187360.32515147, 2187395.4128201, 2187409.45498314, 2187420.13177599, 2187425.16334558, 2187479.66496311, 2187506.91577187, 2187593.8588284, 
2187627.59792497, 2187645.76513081, 2187604.24008889, 2187514.70171723, 2187436.84226362, 2187394.01956414, 2187353.79217977, 2187300.12846478))"
282,Babiole,0.92774710061408,ctecaphaitien,low,0.357,most dense,bad,NA,not allowed,5,2,"list(c(790027.878832792, 790039.782102064, 790088.326763954, 790174.155363825, 790174.991011553, 790137.262720486, 790126.441610674, 790106.752395077, 790088.246541382, 790086.601140243, 790089.222408491, 790090.431664712, 790083.925543742, 790094.002905749, 790088.926482954, 790097.591832935, 790120.31129757, 790136.463374619, 790157.638816018, 790197.170413752, 790208.479457118, 790219.476158608, 790238.223609585, 790270.400491462, 790296.322327631, 790343.454977495, 790353.105672563, 790361.859562215, 
790378.910814176, 790423.041478817, 790461.194067328, 790510.246718416, 790534.239710286, 790572.942133872, 790594.568401937, 790569.925383695, 790582.970959944, 790638.8267665, 790659.512336475, 790664.226880232, 790683.685190835, 790673.101850772, 790657.610740797, 790643.192422659, 790623.746006738, 790617.539285988, 790606.98590282, 790565.801683659, 790562.229823318, 790580.49750801, 790633.270590766, 790659.872695284, 790736.60198706, 790768.352016575, 790815.977104904, 790950.914950291, 791038.227581837, 
790936.169865712, 790863.497861782, 790761.155162066, 790638.058504713, 790590.796157573, 790514.024387048, 790510.658447138, 790477.671374727, 790394.988958419, 790365.223250898, 790223.009465994, 790150.248899893, 790084.102904131, 790074.181026291, 790034.493405862, 790027.878832792, 2183599.88104667, 2183614.74168859, 2183624.79315628, 2183628.08395856, 2183647.02942635, 2183666.48051385, 2183692.15601374, 2183750.927735, 2183794.25101572, 2183837.16531566, 2183900.92976796, 2183966.28656295, 
2184023.66395833, 2184055.92453196, 2184096.93414732, 2184130.78706364, 2184152.64024724, 2184180.61646534, 2184211.90938003, 2184222.50183972, 2184250.16571594, 2184282.67262584, 2184293.60806072, 2184302.22983023, 2184312.13160056, 2184323.77541094, 2184353.95096933, 2184388.40864292, 2184384.51371829, 2184368.7488318, 2184378.97178708, 2184399.99816602, 2184407.90508645, 2184419.75338722, 2184458.55718871, 2184491.02366505, 2184524.28976779, 2184546.38826924, 2184561.57917344, 2184565.04139057, 
2184573.35563654, 2184589.23070034, 2184589.65222187, 2184590.04455126, 2184605.47311092, 2184610.39745777, 2184610.86022594, 2184612.66648311, 2184622.98527999, 2184644.79331342, 2184663.46653351, 2184660.66833857, 2184613.04329142, 2184557.48063103, 2184525.73061554, 2184456.93877325, 2184390.79279436, 2184314.32849692, 2184184.25347078, 2184038.82100864, 2183942.62105655, 2183783.21698534, 2183598.54304612, 2183499.34186401, 2183421.28699338, 2183431.20892706, 2183427.90161012, 2183467.58918261, 
2183434.51615039, 2183477.51102404, 2183530.42784036, 2183573.4226919, 2183599.88104667))"
